resort_slug,resort_name,state_code,state_name,country_code,country_name,is_active,is_region
terry-peak-us,Terry Peak,SD,SD,US,United States,True,False
tetnuldi-mestia-ge,Tetnuldi – Mestia,Tetnuldi–Mestia,Tetnuldi–Mestia,GE,Georgia,True,False
teton-pass-us,Teton Pass,WY,WY,US,United States,True,False
the-balsams-us,The Balsams,NH,NH,US,United States,True,False
the-highlands-us,The Highlands,MI,MI,US,United States,True,False
the-homestead-us-294,The Homestead,VA,VA,US,United States,True,False
the-homestead-us-570,The Homestead,MI,MI,US,United States,True,False
the-mountain-top-us,The Mountain Top,WI,WI,US,United States,True,False
the-remarkables-nz,The Remarkables,Otago,Otago,NZ,New Zealand,True,False
thredbo-au,Thredbo,New South Wales,New South Wales,AU,Australia,True,False
thunder-ridge-us,Thunder Ridge,NY,NY,US,United States,True,False
timber-ridge-us,Timber Ridge,MI,MI,US,United States,True,False
timberline-us,Timberline,OR,OR,US,United States,True,False
timberline-mountain-us,Timberline Mountain,WV,WV,US,United States,True,False
titcomb-mountain-us,Titcomb Mountain,ME,ME,US,United States,True,False
titus-mountain-us,Titus Mountain,NY,NY,US,United States,True,False
toggenburg-mountain-us,Toggenburg Mountain,NY,NY,US,United States,True,False
tomamu-jp,Tomamu,Hokkaido,Hokkaido,JP,Japan,True,False
treble-cone-nz,Treble Cone,Otago,Otago,NZ,New Zealand,True,False
treetops-resort-us,Treetops Resort,MI,MI,US,United States,True,False
triangle-us,Triangle,WI,WI,US,United States,True,False
trollhaugen-us,Trollhaugen,WI,WI,US,United States,True,False
trysil-no-758,Trysil,Norway,Norway,NO,Norway,True,False
trysil-no-423,Trysil,Innlandet,Innlandet,NO,Norway,True,False
turner-mountain-us,Turner Mountain,MT,MT,US,United States,True,False
tussey-mountain-us,Tussey Mountain,PA,PA,US,United States,True,False
tyrol-basin-us,Tyrol Basin,WI,WI,US,United States,True,False
vail-us,Vail,CO,CO,US,United States,True,False
val-cenis-fr,Val Cenis,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes,FR,France,True,False
val-disre-fr,Val d'Isère,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes,FR,France,True,False
val-di-fassa-it,Val di Fassa,Trentino,Trentino,IT,Italy,True,False
val-di-fiemme-it,Val di Fiemme,Trentino,Trentino,IT,Italy,True,False
val-gardena-it,Val Gardena,Trentino-Alto Adige,Trentino-Alto Adige,IT,Italy,True,False
val-thorens-fr,Val Thorens,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes,FR,France,True,False
valberg-fr,Valberg,Provence-Alpes-Côte d'Azur,Provence-Alpes-Côte d'Azur,FR,France,True,False
valle-nevado-cl,Valle Nevado,Santiago Metropolitan Region,Santiago Metropolitan Region,CL,Chile,True,False
vars-fr,Vars,Provence-Alpes-Côte d'Azur,Provence-Alpes-Côte d'Azur,FR,France,True,False
vaujany-fr,Vaujany,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes,FR,France,True,False
vemdalen-se,Vemdalen,Jämtland,Jämtland,SE,Sweden,True,False
verbier-ch,Verbier,Valais,Valais,CH,Switzerland,True,False
villa-olivia-us,Villa Olivia,IL,IL,US,United States,True,False
villard-de-lans-fr,Villard-de-Lans,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes,FR,France,True,False
vogel-ski-resort-si,Vogel Ski Resort,Carniola,Carniola,SI,Slovenia,True,False
wachusett-mountain-us,Wachusett Mountain,MA,MA,US,United States,True,False
wallberg-de,Wallberg,Bavaria,Bavaria,DE,Germany,True,False
warner-canyon-us,Warner Canyon,OR,OR,US,United States,True,False
waterville-valley-us,Waterville Valley,NH,NH,US,United States,True,False
